Region,Code,Subregion,Seat,Settlements,Within City,Population,Area,PD
Budapest,3101,Budapesti,Budapest,1,1,1740041,525.09,3314
Bács-Kiskun,3302,Bácsalmás,Bácsalmás,8,1,16148,381.09,42
Bács-Kiskun,3301,Baja,Baja,20,1,72358,1190.18,61
Bács-Kiskun,3310,Jánoshalm,Jánoshalma,4,2,15736,399.10,39
Bács-Kiskun,3303,Kalocsa,Kalocsa,20,3,50315,1029.29,49
Bács-Kiskun,3304,Kecskemét,Kecskemét,18,4,174545,1483.06,118
Bács-Kiskun,3305,Kiskőrös,Kiskőrös,15,4,54807,1130.33,48
Bács-Kiskun,3306,Kiskunfélegyház,Kiskunfélegyháza,9,1,44986,717.51,63
Bács-Kiskun,3307,Kiskunhalas,Kiskunhalas,9,2,44087,826.35,53
Bács-Kiskun,3308,Kiskunmajsa,Kiskunmajsa,6,1,19429,485.13,40
Bács-Kiskun,3309,Kunszentmiklós,Kunszentmiklós,10,3,29901,802.79,37
Baranya,3201,Komlói,Komló,19,1,38470,314.60,122
Baranya,3202,Mohácsi,Mohács,43,2,48622,846.29,57
Baranya,3207,Pécs,Pécs,39,2,186035,570.83,326
Baranya,3208,Pécsváradi,Pécsvárad,19,1,12244,258.49,47
Baranya,3203,Sásdi,Sásd,27,2,13759,383.87,36
Baranya,3204,Sellyei,Sellye,35,1,13027,463.33,28
Baranya,3205,Siklósi,Siklós,53,3,36257,652.99,56
Baranya,3209,Szentlőrinci,Szentlőrinc,20,1,14715,270.28,54
Baranya,3206,Szigetvári,Szigetvár,46,1,25778,668.91,39
Békés,3401,Békéscsabai,Békéscsaba,6,2,74995,450.73,166
Békés,3407,Békési,Békés,9,2,41860,633.87,66
Békés,3408,Gyulai,Gyula,4,2,42264,413.22,102
Békés,3402,Mezőkovácsház,Mezőkovácsháza,18,4,38276,881.49,43
Békés,3403,Orosház,Orosház,10,3,57127,848.14,67
Békés,3404,Sarkad,Sarkad,11,1,22363,570.97,39
Békés,3405,Szarvas,Szarvas,8,2,43063,821.57,52
Békés,3406,Szeghalmi,Szeghalom,9,5,37792,1009.73,37
Borsod-Abaúj-Zemplén,3512,Abaúj-Hegyközi,Gönc,24,2,13827,440.47,31
Borsod-Abaúj-Zemplén,3513,Bodrogköz,Cigánd,17,1,16113,400.38,40
Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,47,2,33795,783.23,43
Borsod-Abaúj-Zemplén,3503,Encsi,Encs,36,1,23137,449.45,51
Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,32,2,58047,460.02,126
Borsod-Abaúj-Zemplén,3514,Mezőcsáti,Mezőcsát,9,1,13688,378.49,36
Borsod-Abaúj-Zemplén,3505,Mezőkövesdi,Mezőkövesd,21,2,41190,679.62,61
Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,40,7,261680,1006.37,260
Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,29,3,65864,549.74,120
Borsod-Abaúj-Zemplén,3507,Sárospatak,Sárospatak,16,1,24246,477.67,51
Borsod-Abaúj-Zemplén,3508,Sátoraljaújhely,Sátoraljaújhely,19,2,21708,310.99,70
Borsod-Abaúj-Zemplén,3509,Szerencs,Szerencs,18,1,41030,498.92,82
Borsod-Abaúj-Zemplén,3510,Szikszó,Szikszó,23,1,18220,299.94,61
Borsod-Abaúj-Zemplén,3511,Tiszaújváros,Tiszaújváros,16,1,32423,256.27,127
Borsod-Abaúj-Zemplén,3515,Tokaji,Tokaj,11,1,13293,255.80,52
Csongrád,3601,Csongrádi,Csongrád,4,1,22633,339.24,67
Csongrád,3602,Hódmezővásárhely,Hódmezővásárhely,4,2,56902,707.77,80
Csongrád,3603,Kistelek,Kistelek,6,1,18152,410.20,44
Csongrád,3604,Makó,Makó,17,2,45572,703.74,65
Csongrád,3605,Mórahalm,Mórahalom,9,1,25983,534.82,49
Csongrád,3606,Szeged,Szeged,12,2,209066,753.10,278
Csongrád,3607,Szentes,Szentes,8,1,41058,813.84,50
Fejér,3708,Aba,Aba,9,,23516,467.16,50
Fejér,3709,Adony,Adony,8,2,24525,319.96,77
Fejér,3701,Bicske,Bicske,16,1,38154,618.73,62
Fejér,3702,Dunaújváros,Dunaújváros,9,2,71268,371.73,192
Fejér,3703,Enying,Enying,9,1,20075,433.11,46
Fejér,3710,Ercs,Ercs,7,2,24319,236.65,103
Fejér,3704,Gárdony,Gárdony,9,2,27686,265.15,104
Fejér,3705,Mór,Mór,13,2,34431,417.55,82
Fejér,3706,Sárbogárd,Sárbogárd,10,1,24281,561.27,43
